wkt_geom,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,異動日期_西元年月,ADDRESS,TEL,坐標系統
Point (180261.12250000023050234 2498849.6988999992609024),E0000005848,9960103,,高雄捷運前鎮高中站_R5,高捷前鎮高中站_R5,202205,高雄市前鎮區翠亨北路225號,,TM2
Point (180201.4044999991892837 2498910.27470000134781003),E0000005601,9960103,,高雄捷運前鎮高中站_出入口3,高捷前鎮高中站_出入口3,202205,,,TM2
Point (180310.18350000013015233 2498918.06550000095739961),E0000005597,9960103,,高雄捷運前鎮高中站_出入口2,高捷前鎮高中站_出入口2,202205,,,TM2
Point (179600.72070000146050006 2499723.66330000106245279),E0000005594,9960103,,高雄捷運凱旋站_出入口1,高捷凱旋站_出入口1,202205,,,TM2
Point (179684.81229999964125454 2499762.35710000153630972),E0000005595,9960103,,高雄捷運凱旋站_出入口2,高捷凱旋站_出入口2,202205,,,TM2
Point (179590.19589999882737175 2499777.58850000146776438),E0000005857,9960103,,高雄捷運凱旋站_R6,高捷凱旋站_R6,202205,高雄市前鎮區中山三路1號,,TM2
Point (179499.66230000057839788 2499885.4488999992609024),E0000005596,9960103,,高雄捷運凱旋站_出入口3,高捷凱旋站_出入口3,202205,,,TM2
Point (178888.13209999984246679 2500733.25070000067353249),E0000004722,9960103,,高雄捷運獅甲(勞工公園)站_出入口1,高捷獅甲站_出入口1,202205,,,TM2
Point (178927.64149999912478961 2500787.66609999909996986),E0000004723,9960103,,高雄捷運獅甲(勞工公園)站_出入口2,高捷獅甲站_出入口2,202205,,,TM2
Point (178880.03210000111721456 2500797.60690000001341105),E0000005859,9960103,,高雄捷運獅甲(勞工公園)站_R7,高捷獅甲站_R7,202205,高雄市前鎮區中山三路150號,,TM2
Point (178810.34209999986342154 2500859.19289999967440963),E0000004726,9960103,,高雄捷運獅甲(勞工公園)站_出入口4,高捷獅甲站_出入口4,202205,,,TM2
Point (178855.05629999976372346 2500893.32630000123754144),E0000004727,9960103,,高雄捷運獅甲(勞工公園)站_出入口3,高捷獅甲站_出入口3,202205,,,TM2
Point (178509.56710000016028062 2501570.34170000161975622),E0000004724,9960103,,高雄捷運三多商圈站_出入口2,高捷三多商圈站_出入口2,202205,,,TM2
Point (178555.00709999987157062 2501611.04549999861046672),E0000004733,9960103,,高雄捷運三多商圈站_出入口3,高捷三多商圈站_出入口3,202205,,,TM2
Point (178529.83330000040587038 2501622.01650000084191561),E0000005830,9960103,,高雄捷運三多商圈站_R8,高捷三多商圈站_R8,202205,高雄市前鎮區中山二路268號,,TM2
Point (178464.97670000014477409 2501624.89689999958500266),E0000004720,9960103,,高雄捷運三多商圈站_出入口1,高捷三多商圈站_出入口1,202205,,,TM2
Point (187362.06729999967501499 2502473.17869999958202243),E0000005015,9960103,,高雄捷運大寮(前庄)站_出入口2,高捷大寮站_出入口2,202205,,,TM2
Point (187380.37029999861260876 2502529.45429999940097332),E0000005014,9960103,,高雄捷運大寮(前庄)站_出入口1,高捷大寮站_出入口1,202205,,,TM2
Point (176335.7639000003982801 2502740.47450000140815973),E0000004728,9960103,,高雄捷運鹽埕埔站_出入口1,高捷鹽埕埔站_出入口1,202205,,,TM2
Point (178168.7961000001814682 2502789.25929999956861138),E0000004093,9960103,,高雄捷運中央公園站_出入口2,高捷中央公園站_出入口2,202205,,,TM2
Point (176385.37750000064261258 2502796.61990000028163195),E0000004106,9960103,,高雄捷運鹽埕埔站_出入口4,高捷鹽埕埔站_出入口4,202205,,,TM2
Point (176392.42170000047190115 2502811.28150000097230077),E0000005865,9960103,,高雄捷運鹽埕埔站_O2,高捷鹽埕埔站_O2,202205,高雄市鹽埕區大勇路96號,,TM2
Point (185424.3887000007671304 2502821.14230000041425228),E0000008812,9960103,,高雄捷運鳳山國中站_出入口2,高捷鳳山國中站_出入口2,202205,,,TM2
Point (176402.78150000024470501 2502832.03350000083446503),E0000004107,9960103,,高雄捷運鹽埕埔站_出入口3,高捷鹽埕埔站_出入口3,202205,,,TM2
Point (185384.21949999878415838 2502866.09670000011101365),E0000004051,9960103,,高雄捷運鳳山國中站_出入口1,高捷鳳山國中站_出入口1,202205,,,TM2
Point (176445.43349999975180253 2502876.96769999992102385),E0000004105,9960103,,高雄捷運鹽埕埔站_出入口2,高捷鹽埕埔站_出入口2,202205,,,TM2
Point (185494.41689999989466742 2502880.38810000009834766),E0000005861,9960103,,高雄捷運鳳山國中站_O14,高捷鳳山國中站,202205,高雄市鳳山區中山東路225號,,TM2
Point (182260.31709999885060824 2502889.4488999992609024),E0000004056,9960103,,高雄捷運衛武營站_出入口3,高捷衛武營站_出入口3,202205,,,TM2
Point (182910.14430000021820888 2502900.1401000008918345),E0000004050,9960103,,高雄捷運鳳山西站(高雄市議會)_出入口1,高捷鳳山西站_出入口1,202205,,,TM2
Point (178164.90289999925880693 2502906.16049999836832285),E0000005834,9960103,,高雄捷運中央公園站_R9,高捷中央公園站_R9,202205,高雄市前金區中山一路11號,,TM2
Point (185609.6376999988569878 2502907.68070000130683184),E0000004063,9960103,,高雄捷運鳳山國中站_出入口3,高捷鳳山國中站_出入口3,202205,,,TM2
Point (182309.48529999886523001 2502909.60089999949559569),E0000005862,9960103,,高雄捷運衛武營站_O10,高捷衛武營站_O10,202205,高雄市苓雅區中正一路2號,,TM2
Point (182430.1662999996333383 2502914.56129999924451113),E0000004058,9960103,,高雄捷運衛武營站_出入口5,高捷衛武營站_出入口5,202205,,,TM2
Point (178088.25129999947967008 2502916.611500000115484),E0000004091,9960103,,高雄捷運中央公園站_出入口1,高捷中央公園站_出入口1,202205,,,TM2
Point (183077.08210000055260025 2502917.52169999992474914),E0000004059,9960103,,高雄捷運鳳山西站(高雄市議會)_出入口2,高捷鳳山西站_出入口2,202205,,,TM2
Point (182195.19649999891407788 2502919.69189999951049685),E0000004055,9960103,,高雄捷運衛武營站_出入口2,高捷衛武營站_出入口2,202205,,,TM2
Point (184501.18730000031064264 2502921.50209999969229102),E0000004061,9960103,,高雄捷運大東站_出入口2,高捷大東站_出入口2,202311,,,TM2
Point (184555.16430000029504299 2502924.6223000013269484),E0000005831,9960103,,高雄捷運大東站_O13,高捷大東站,202205,高雄市鳳山區光遠路226號,,TM2
Point (182345.95930000022053719 2502925.83250000001862645),E0000004057,9960103,,高雄捷運衛武營站_出入口4,高捷衛武營站_出入口4,202205,,,TM2
Point (182911.27429999955347739 2502933.07310000155121088),E0000012969,9960103,,高雄捷運鳳山西站(高雄市議會)_O11,高捷鳳山西站_O11,202205,高雄市鳳山區自由路281號,,TM2
Point (184585.32009999925503507 2502953.24510000040754676),E0000004049,9960103,,高雄捷運大東站_出入口1,高捷大東站_出入口1,202205,,,TM2
Point (182203.56029999972088262 2502974.56709999963641167),E0000004048,9960103,,高雄捷運衛武營站_出入口1,高捷衛武營站_出入口1,202205,,,TM2
Point (183782.17310000082943588 2502989.48870000150054693),E0000004060,9960103,,高雄捷運鳳山站_出入口1,高捷鳳山站_出入口1,202205,,,TM2
Point (183786.32210000033956021 2503015.54109999956563115),E0000005860,9960103,,高雄捷運鳳山站_O12,高捷鳳山站_O12,202205,高雄市鳳山區光遠路446號,,TM2
Point (178195.47109999877284281 2503022.10169999999925494),E0000004092,9960103,,高雄捷運中央公園站_出入口3,高捷中央公園站_出入口3,202205,,,TM2
Point (183786.52010000063455664 2503039.48350000055506825),E0000004047,9960103,,高雄捷運鳳山站_出入口2,高捷鳳山站_出入口2,202205,,,TM2
